Date,Type,Merchant/Description,Debit/Credit,Balance
2024-12-05,VIS,Prime Video *S**PA***-********,-£3.99,£621.43
2024-12-05,))),VRISTHI NEWS      THAMES DITTON,-£1.19,£625.42
2024-12-05,))),BUDGENS           THAMES DITTO,-£11.98,£626.61
2024-12-05,))),SAINSBURYS S/MKTS SURBITON,-£12.28,£638.59
2024-12-05,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£15.60,£650.87
2024-12-04,))),OLE AND STEEN  JUBLONDON,-£3.45,£666.47
2024-12-04,VIS,SPOTIFY           LONDON,-£11.99,£669.92
2024-12-04,VIS,Microsoft*Microsofmsbill.info,-£1.99,£681.91
2024-12-04,SO,************************************,-£282.00,£683.90
2024-12-03,VIS,INT'L **********  APPLE.COM/BILL    ***********,-£0.99,£965.90
2024-12-03,))),**** LIDL GB HERSHLIDL GB HERSH,-£39.72,£966.89
2024-12-03,DD,HSBC CREDIT CARD,-£26.39,£1006.61
2024-12-02,VIS,KFC               SURBITON,-£18.48,£1033.00
2024-12-02,VIS,AMZNMktplace*BS*BIamazon.co.uk,-£32.77,£1051.48
2024-12-02,))),BUDGENS           THAMES DITTO,-£23.46,£1084.25
2024-12-02,))),YE OLDE SWAN      THAMES DITTON,-£8.55,£1107.71
2024-12-02,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£15.60,£1116.26
2024-12-02,CR,******************,£500.00,£1131.86
2024-11-29,))),SAINSBURYS S/MKTS SURBITON,-£33.94,£631.86
2024-11-29,VIS,GOOGLE *Google Plag.co/helppay#,-£4.59,£665.80
2024-11-28,VIS,McDonalds ******* Surbiton,-£3.26,£670.39
2024-11-28,))),SAINSBURYS S/MKTS SURBITON,-£2.35,£673.65
2024-11-28,DD,OCTOPUS ENERGY,-£70.00,£676.00
2024-11-27,))),SAINSBURYS S/MKTS SURBITON,-£18.23,£746.00
2024-11-27,))),SumUp  *ThePressRoTwickenham,-£3.20,£764.23
2024-11-26,VIS,AMZNMktplace*TP*YMamazon.co.uk,-£156.51,£767.43
2024-11-26,))),SAINSBURYS S/MKTS SURBITON,-£1.45,£923.94
2024-11-25,))),WAITROSE ***      SURBITON,-£32.87,£925.39
2024-11-25,VIS,QBS WORLDWIDE LTD MALTON,-£78.80,£958.26
2024-11-25,SO,************************************,-£338.84,£1037.06
2024-11-22,VIS,McDonalds ******* Surbiton,-£2.88,£1375.90
2024-11-22,))),VRISTHI NEWS      THAMES DITTON,-£9.55,£1378.78
2024-11-22,DD,VODAFONE LTD,-£23.98,£1388.33
2024-11-21,))),Victoria          Surbiton,-£5.35,£1412.31
2024-11-20,VIS,KFC               SURBITON,-£14.56,£1417.66
2024-11-20,))),SAINSBURYS S/MKTS SURBITON,-£14.02,£1432.22
2024-11-19,))),BUDGENS           THAMES DITTO,-£7.99,£1446.24
2024-11-18,))),BOOTS ****        SURBITON,-£14.32,£1454.23
