Date,Type,Merchant/Description,Debit/Credit,Balance
2024-03-26,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£7.40,+£600.76
2024-03-26,VIS,WWW.GOV.UK/PAY-DARLEEDS,-£5.00,+£608.16
2024-03-25,VIS,KFC               SURBITON,-£10.68,+£613.16
2024-03-25,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£13.40,+£623.84
2024-03-25,))),SAINSBURYS S/MKTS SURBITON,-£14.00,+£637.24
2024-03-25,))),WATERLOO STARBUCKSLONDON,-£3.10,+£651.24
2024-03-25,))),LITTLE BEAR CAFE  LONDON  NW*,-£6.10,+£654.34
2024-03-25,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£13.40,+£660.44
2024-03-25,DD,OCTOPUS ENERGY,-£212.52,+£673.84
2024-03-22,))),TST-SURBEANTON RESSurbiton,-£30.60,+£886.36
2024-03-22,DD,VODAFONE LTD,-£43.74,+£916.96
2024-03-21,))),The Antelope      Surbiton,-£10.90,+£960.70
2024-03-20,))),VRISTHI NEWS      THAMES DITTON,-£4.76,+£971.60
2024-03-18,))),SURBEANTON COFFEE KT* *JL KT*,-£6.15,+£976.36
2024-03-18,))),SURBEANTON COFFEE KT* *JL KT*,-£6.15,+£982.51
2024-03-15,VIS,McDonalds ******* London,-£7.13,+£988.66
2024-03-15,DD,INTERACTIVE INVEST,-£540.00,+£995.79
2024-03-14,))),VICTORIA PLACE LEOLONDON,-£3.20,+£1535.79
2024-03-14,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£15.60,+£1538.99
2024-03-14,))),SAINSBURYS S/MKTS SURBITON,-£6.30,+£1554.59
2024-03-14,))),POSTMARK TRADING LLONDON,-£2.95,+£1560.89
2024-03-14,VIS,Wix.com **********London,+£219.60,+£1563.84
2024-03-14,DD,INTERACTIVE INVESTFIRST PAYMENT,-£11.99,+£1344.24
2024-03-13,VIS,Wix.com **********London,-£432.00,+£1356.23
2024-03-12,CR,************************************,+£350.00,+£1788.23
2024-03-11,))),SAINSBURYS S/MKTS HEYFORD HILL,-£11.64,+£1438.23
2024-03-11,))),WELCOME BREAK-BEACBEACONSFIELD,-£3.15,+£1449.87
2024-03-11,))),BEACONSFIELD LEON-BUCKINGHAMSHI,-£7.99,+£1453.02
2024-03-11,))),SHELL EPPING **   EPPING,-£25.11,+£1461.01
2024-03-11,))),MARKS & SPENCER SABEACONSFIELD,-£4.15,+£1486.12
2024-03-11,VIS,McDonalds ******* Buckinghamshi,-£7.03,+£1490.27
2024-03-11,VIS,LONDON BOROUGH OF LONDON,-£4.30,+£1497.30
2024-03-11,))),PIZZA EXPRESS     ABINGDON ***,-£24.02,+£1501.60
2024-03-08,CR,************************************,+£287.50,+£1525.62
2024-03-07,))),SAINSBURYS S/MKTS SURY BASIN,-£17.00,+£1238.12
2024-03-07,))),JOHN LEWIS        WOOD STREET,-£1.70,+£1255.12
2024-03-07,))),WAITROSE ***      KINGSTON,-£6.85,+£1256.82
2024-03-07,))),Futon Company     Kingston,-£30.00,+£1263.67
2024-03-07,CR,******************,+£551.00,+£1293.67
2024-03-06,))),B & Q ****        NEW MALDEN,-£50.49,+£742.67
2024-03-05,VIS,LIDL GB CHESSINGTOCHESSINGTON,-£103.34,+£793.16
2024-03-05,CR,************************************,+£340.00,+£896.50
2024-03-04,VIS,INT'L **********  APPLE.COM/BILL    ***********,-£10.99,+£556.50
2024-03-04,))),CO-OP GROUP FOOD  ******,-£17.70,+£567.49
2024-03-04,))),SQ *LVSA          Hertford,-£70.00,+£585.19
2024-03-04,))),The Antelope      Surbiton,-£21.95,+£655.19
2024-03-04,))),The Limping Fox   Thames Ditton,-£22.80,+£677.14
2024-03-04,CR,************************************,+£500.00,+£699.94
2024-03-04,SO,************************************,-£282.00,+£199.94
2024-03-01,))),The Antelope      Surbiton,-£4.30,+£481.94
2024-03-01,VIS,McDonalds ******* Surbiton,-£6.43,+£486.24
2024-03-01,SO,************************************,-£200.00,+£492.67
2024-02-29,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£7.00,+£692.67
2024-02-29,))),SumUp  *ThePressRoTwickenham,-£2.50,+£699.67
2024-02-29,BP,************************************,-£90.00,+£702.17
2024-02-28,))),VRISTHI NEWS      THAMES DITTON,-£18.50,+£792.17
2024-02-28,))),SAINSBURYS S/MKTS SURBITON,-£0.75,+£810.67
2024-02-28,))),DENNYS BOOKS      THAMES DITTON,-£6.99,+£811.42
2024-02-27,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£9.60,+£818.41
2024-02-27,))),SAINSBURYS S/MKTS SURBITON,-£7.65,+£828.01
2024-02-27,VIS,McDonalds ******* Birmingham,-£6.90,+£835.66
2024-02-26,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£5.30,+£842.56
2024-02-26,))),JoeAndTheJuice_RicLondon,-£2.90,+£847.86
2024-02-26,))),Lass O?Richmond HiRichmond,-£14.60,+£850.76
2024-02-26,))),WELCOME BREAK-WARWWARWICK,-£3.05,+£865.36
2024-02-26,))),WELCOME B/WAITROSEWARWICK,-£3.15,+£868.41
2024-02-26,))),RONTEC LEATHERHEADLEATHERHEAD,-£50.43,+£871.56
2024-02-26,ATM,CASH NATWIDE FEB26VICTORIA ROA@15:49,-£10.00,+£921.99
2024-02-25,BP,************************************,-£15.00,+£931.99
2024-02-23,))),SAINSBURYS S/MKTS SURBITON,-£84.23,+£946.99
2024-02-23,CR,************************************,+£300.00,+£1031.22
2024-02-23,DD,OCTOPUS ENERGY,-£212.52,+£731.22
2024-02-23,CR,******************,+£205.00,+£943.74
2024-02-22,BP,************************************,-£22.88,+£738.74
2024-02-22,BP,************************************,-£200.00,+£761.62
2024-02-22,DD,VODAFONE LTD,-£43.74,+£961.62
2024-02-20,))),WAITROSE ***      KINGSTON,-£20.90,+£1005.36
2024-02-19,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£6.40,+£1026.26
2024-02-19,))),KFC               SURBITON,-£16.48,+£1032.66
2024-02-19,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£12.50,+£1049.14
2024-02-19,))),SAINSBURYS S/MKTS SURBITON,-£12.75,+£1061.64
2024-02-19,))),SAINSBURYS S/MKTS WATERLOO STAT,-£3.35,+£1074.39
2024-02-19,))),TATE MODERN EATS  LONDON,-£4.90,+£1077.74
2024-02-19,))),LIDL GB CHESSINGTOCHESSINGTON,-£56.34,+£1082.64
2024-02-16,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£8.60,+£1138.98
2024-02-16,))),The Antelope      Surbiton,-£8.60,+£1147.58
2024-02-16,CR,************************************,+£416.00,+£1156.18
2024-02-15,BP,************************************,-£90.00,+£740.18
2024-02-15,VIS,SAINSBURYS S/MKTS SURBITON,-£67.61,+£830.18
2024-02-15,DD,INTERACTIVE INVEST,-£540.00,+£897.79
2024-02-14,))),Roadchef Limited  Cannock,-£5.78,+£1437.79
2024-02-14,DD,INTERACTIVE INVESTFIRST PAYMENT,-£11.99,+£1443.57
2024-02-13,))),GAYNOR SPORTS LTD AMBLESIDE,-£56.34,+£1455.56
2024-02-13,))),M* TOLL           LICHFIELD,-£8.90,+£1511.90
2024-02-13,VIS,WESTMORLAND AND FUKENDAL,-£2.20,+£1520.80
2024-02-13,VIS,WESTMORLAND AND FUKENDAL,-£2.20,+£1523.00
2024-02-12,))),SumUp  *The Old PoWindermere,-£6.00,+£1525.20
2024-02-12,))),WELCOME BREAK-OXFOOXFORD,-£3.00,+£1531.20
2024-02-12,))),MFG PALACE        EAST MOLESEY,-£31.51,+£1534.20
2024-02-12,))),SHELL A***        KENDAL,-£4.38,+£1565.71
2024-02-12,))),TESCO STORES **** WHITCHURCH,-£29.00,+£1570.09
2024-02-12,))),Norton Canes Leon Cannock,-£2.99,+£1599.09
2024-02-12,VIS,McDonalds ******* Cannock,-£8.63,+£1602.08
2024-02-09,))),SQ *FEE-KA        London,-£2.50,+£1610.71
2024-02-09,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£13.00,+£1613.21
2024-02-09,))),PIZZA EXPRESS     LONDON ****,-£24.00,+£1626.21
2024-02-09,))),SAINSBURYS S MKTS LEICESTER SQ,-£1.88,+£1650.21
2024-02-09,))),WATERSTONES       LONDON,-£2.50,+£1652.09
2024-02-07,CR,************************************,+£10.00,+£1654.59
2024-02-07,CR,******************,+£551.00,+£1644.59
2024-02-06,))),PEMBROKE LODGE    RICHMOND TW**,-£8.95,+£1093.59
2024-02-05,VIS,INT'L **********  APPLE.COM/BILL    CORK,-£6.99,+£1102.54
2024-02-05,))),PEMBROKE LODGE    RICHMOND TW**,-£2.95,+£1109.53
2024-02-05,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£9.60,+£1112.48
2024-02-05,))),THE HARP          LONDON WC*N,-£11.60,+£1122.08
2024-02-05,VIS,McDonalds ******* London,-£8.33,+£1133.68
2024-02-05,SO,************************************,-£282.00,+£1142.01
2024-02-02,DR,************************************,-£0.49,+£1424.01
2024-02-02,VIS,INT'L **********  IMG INSURANCE     ***-***-****      USD **.** @ *.**** Visa Rate,-£18.02,+£1424.50
2024-02-02,))),OLE AND STEEN  VICLONDON,-£2.95,+£1442.52
2024-02-02,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£11.20,+£1445.47
2024-02-02,))),SAINSBURYS S/MKTS SURBITON,-£25.13,+£1456.67
2024-02-02,VIS,OLE AND STEEN  VICLONDON,-£2.95,+£1481.80
2024-02-02,DD,HSBC CREDIT CARD,-£3.19,+£1484.75
2024-02-02,CR,******************,+£305.50,+£1487.94
2024-02-01,BP,************************************,-£75.00,+£1182.44
2024-02-01,BP,************************************,-£90.00,+£1257.44
2024-02-01,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£7.00,+£1347.44
2024-02-01,))),SAINSBURYS S/MKTS SURBITON,-£21.75,+£1354.44
2024-01-31,OBP,************************************,-£6031.98,+£1376.19
2024-01-31,CR,************************************,+£5000.00,+£7408.17
2024-01-30,))),VRISTHI NEWS      THAMES DITTON,-£7.20,+£2408.17
2024-01-29,VIS,LIDL GB CHESSINGTOCHESSINGTON,-£63.34,+£2415.37
2024-01-29,))),NICE BUNS  CAFE   THAMES DITTON,-£2.70,+£2478.71
2024-01-29,))),KFC               SURBITON,-£18.66,+£2481.41
2024-01-26,))),VRISTHI NEWS      THAMES DITTON,-£17.00,+£2500.07
2024-01-26,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£1.75,+£2517.07
2024-01-26,))),JOSE PIZARRO THE SLONDON,-£12.00,+£2518.82
2024-01-26,VIS,McDonalds ******* Surbiton,-£3.12,+£2530.82
2024-01-25,))),Victoria          Surbiton,-£8.60,+£2533.94
2024-01-25,))),Victoria          Surbiton,-£6.30,+£2542.54
2024-01-25,))),SUMUP  *THEPRESSROTWICKENHAM,-£2.50,+£2548.84
2024-01-24,))),VRISTHI NEWS      THAMES DITTON,-£6.01,+£2551.34
2024-01-24,DD,VODAFONE LTD,-£43.74,+£2557.35
2024-01-23,))),The Antelope      Surbiton,-£10.90,+£2601.09
2024-01-23,))),CAFFE NERO SURBITOSURBITON,-£2.15,+£2611.99
2024-01-23,DD,OCTOPUS ENERGY,-£212.52,+£2614.14
2024-01-22,))),INT'L **********  PYD*BrewDog WaterlLondon,-£7.35,+£2826.66
2024-01-22,))),TFL TRAVEL CH     TFL.GOV.UK/CP,-£9.60,+£2834.01
2024-01-22,))),ROYALOPERAHSE     LONDON,-£1.30,+£2843.61
2024-01-22,))),ROYALOPERAHSE     LONDON,-£6.10,+£2844.91
2024-01-22,))),ROYALOPERAHSE     LONDON,-£1.30,+£2851.01
2024-01-22,))),SURBEANTON COFFEE KT* *JL KT*,-£10.90,+£2852.31
2024-01-19,))),VRISTHI NEWS      THAMES DITTON,-£14.56,+£2863.21
2024-01-18,))),MFG PALACE        EAST MOLESEY,-£41.99,+£2877.77
2024-01-18,))),Dunelm Soft FurnisLeicester,-£65.20,+£2919.76
2024-01-18,VIS,WWW.SCREWFIX.COM  YEOVIL,-£5.99,+£2984.96
2024-01-17,))),Hideaway          Surbiton,-£2.81,+£2990.95
2024-01-15,VIS,Amazon.co.uk*WB**UAMAZON.CO.UK,-£26.00,+£2993.76
